word,Information
conceptu,"[['00423', 1, [5]], ['00431', 1, [45]]]"
concern,"[['00496', 1, [68]], ['00178', 1, [87]], ['00018', 1, [16]], ['00642', 2, [27, 35]], ['00933', 1, [20]], ['01173', 1, [127]], ['00279', 1, [42]], ['00590', 2, [24, 62]], ['00008', 1, [201]], ['00467', 1, [97]], ['00105', 1, [13]], ['01022', 1, [32]], ['00732', 1, [19]], ['00436', 1, [3]], ['00394', 1, [59]], ['00301', 1, [29]], ['00203', 2, [16, 41]], ['00721', 1, [46]], ['00395', 1, [40]], ['00423', 1, [8]], ['00315', 1, [54]], ['00147', 1, [104]], ['00206', 1, [62]], ['00898', 1, [15]], ['01224', 1, [46]], ['00581', 1, [58]], ['00332', 1, [63]], ['00218', 1, [43]], ['01114', 1, [33]], ['00039', 1, [47]], ['00208', 1, [12]], ['01160', 2, [11, 93]]]"
concert,"[['00710', 1, [79]]]"
conclud,"[['00963', 1, [105]], ['00334', 1, [73]], ['00818', 1, [9]], ['00154', 1, [52]], ['00371', 1, [75]], ['01204', 1, [112]], ['01099', 2, [8, 115]], ['00494', 1, [39]], ['01003', 1, [200]], ['00089', 1, [90]], ['00419', 1, [33]], ['00793', 1, [42]], ['00307', 1, [251]], ['00050', 1, [35]], ['00501', 1, [90]], ['00602', 1, [68]], ['00707', 1, [61]], ['01051', 1, [112]], ['00253', 1, [104]], ['00554', 1, [68]], ['00304', 1, [117]], ['00231', 1, [32]], ['01092', 1, [110]], ['01039', 1, [63]], ['01129', 1, [57]], ['00652', 1, [104]], ['00140', 1, [58]], ['00125', 1, [15]], ['00349', 1, [82]], ['00947', 1, [59]], ['00771', 1, [70]], ['01045', 1, [85]], ['01078', 1, [75]], ['00726', 1, [136]], ['00470', 2, [37, 58]], ['00543', 1, [104]], ['00676', 1, [183]], ['00418', 1, [72]], ['00063', 1, [110]], ['00814', 1, [51]], ['00691', 1, [47]], ['00323', 1, [64]], ['00964', 1, [69]], ['00630', 1, [82]], ['00161', 1, [66]], ['00112', 1, [21]], ['00004', 1, [93]], ['01143', 1, [88]], ['00629', 1, [103]], ['00227', 1, [44]], ['00024', 1, [121]], ['00347', 1, [94]]]"
conclus,"[['01221', 1, [83]], ['00483', 1, [50]], ['00811', 1, [111]], ['01099', 2, [20, 41]], ['00118', 1, [126]], ['00754', 1, [98]], ['01130', 1, [56]], ['00049', 1, [60]], ['00919', 1, [57]], ['00112', 2, [27, 33]], ['01143', 1, [97]], ['00355', 1, [35]]]"
concomit,"[['00952', 1, [11]], ['00176', 1, [7]], ['00012', 1, [17]], ['00985', 1, [96]], ['00425', 1, [69]], ['00126', 1, [87]], ['00676', 1, [199]], ['01107', 1, [93]], ['00424', 1, [47]], ['00993', 1, [71]]]"
concord,"[['00543', 1, [105]], ['00949', 1, [103]]]"
concret,"[['00658', 1, [123]], ['00770', 1, [24]]]"
concurr,"[['00475', 1, [50]], ['00509', 1, [19]], ['00726', 1, [60]], ['00749', 2, [42, 226]]]"
condit,"[['00097', 1, [36]], ['00746', 1, [127]], ['00980', 1, [41]], ['00095', 1, [43]], ['00811', 1, [107]], ['00496', 1, [24]], ['01073', 1, [3]], ['00237', 1, [33]], ['00935', 2, [21, 32]], ['00158', 1, [27]], ['00012', 1, [52]], ['00240', 1, [37]], ['00255', 1, [53]], ['00011', 1, [74]], ['00122', 1, [19]], ['01204', 1, [46]], ['01230', 1, [31]], ['01024', 1, [11]], ['00046', 1, [10]], ['00701', 1, [37]], ['00892', 2, [134, 154]], ['00105', 1, [23]], ['00226', 1, [13]], ['00866', 1, [56]], ['00781', 1, [60]], ['00664', 1, [51]], ['00445', 1, [70]], ['00392', 1, [12]], ['00258', 2, [51, 136]], ['00307', 1, [60]], ['00084', 1, [41]], ['00353', 1, [22]], ['00912', 1, [26]], ['01202', 1, [58]], ['00437', 1, [56]], ['00524', 1, [28]], ['00017', 1, [51]], ['00452', 2, [31, 43]], ['01105', 1, [76]], ['00932', 1, [7]], ['00796', 1, [40]], ['00784', 1, [33]], ['01058', 1, [14]], ['00422', 1, [40]], ['00475', 1, [48]], ['00336', 1, [30]], ['00502', 1, [71]], ['00261', 2, [22, 80]], ['00395', 1, [33]], ['00315', 2, [70, 77]], ['00787', 1, [23]], ['00005', 1, [45]], ['00009', 1, [27]], ['00206', 1, [57]], ['00716', 1, [102]], ['00509', 1, [9]], ['00185', 1, [36]], ['00126', 1, [74]], ['00450', 1, [3]], ['00923', 1, [48]], ['00599', 3, [23, 28, 39]], ['00577', 1, [137]], ['00048', 1, [82]], ['01165', 1, [63]], ['00216', 1, [72]], ['00427', 1, [13]], ['00135', 2, [37, 48]], ['00300', 1, [15]], ['00416', 1, [70]], ['00036', 2, [8, 110]], ['00032', 1, [20]], ['01090', 1, [45]], ['00610', 1, [99]], ['00997', 1, [49]], ['00516', 1, [74]], ['01008', 1, [58]], ['00197', 1, [109]], ['00149', 1, [68]], ['00838', 1, [49]], ['00673', 1, [10]], ['00580', 1, [11]], ['00080', 1, [51]], ['00881', 1, [13]], ['00056', 2, [61, 91]], ['00762', 1, [76]], ['00116', 1, [46]], ['00209', 2, [59, 84]], ['01220', 1, [72]], ['00669', 1, [29]], ['01157', 1, [63]], ['01183', 1, [17]], ['00776', 1, [114]], ['00342', 1, [86]], ['00651', 1, [15]], ['00487', 1, [58]], ['01151', 1, [3]], ['00060', 2, [59, 66]], ['00655', 2, [78, 137]], ['00533', 1, [54]], ['00691', 1, [50]], ['00138', 2, [56, 57]], ['00476', 1, [36]], ['00956', 1, [40]], ['00093', 1, [28]], ['01070', 1, [63]], ['00335', 1, [35]], ['00638', 1, [49]], ['00078', 2, [22, 25]], ['01148', 2, [62, 67]], ['00824', 1, [52]], ['01088', 1, [9]], ['00471', 1, [16]], ['00905', 2, [36, 67]], ['00002', 2, [16, 32]], ['00799', 1, [14]], ['00586', 1, [57]], ['00666', 1, [41]], ['00682', 1, [18]], ['00914', 1, [67]], ['00109', 1, [59]], ['00950', 2, [53, 83]], ['00434', 1, [22]], ['00896', 1, [89]], ['00714', 1, [21]], ['00208', 1, [48]], ['01137', 1, [45]], ['00267', 2, [8, 19]], ['00168', 1, [18]], ['01185', 1, [102]]]"
conduct,"[['00842', 1, [40]], ['00880', 1, [62]], ['01099', 1, [73]], ['01003', 1, [124]], ['00250', 2, [65, 78]], ['00999', 1, [68]], ['00368', 1, [81]], ['01174', 1, [11]], ['00721', 2, [25, 51]], ['00242', 1, [14]], ['00244', 1, [22]], ['01067', 1, [32]], ['01038', 2, [30, 51]], ['01150', 1, [119]], ['00824', 1, [26]], ['00049', 1, [17]], ['00559', 1, [138]], ['01019', 1, [57]], ['00629', 2, [86, 117]]]"
confer,"[['01144', 1, [73]]]"
configur,"[['00567', 1, [53]]]"
confin,"[['00722', 1, [60]], ['00703', 1, [109]], ['00671', 1, [35]], ['00253', 1, [117]], ['00350', 1, [53]], ['00125', 1, [40]], ['00197', 1, [25]], ['00550', 1, [146]], ['00837', 1, [14]]]"
confirm,"[['00276', 1, [25]], ['00916', 1, [13]], ['00712', 1, [44]], ['00228', 1, [91]], ['00362', 1, [44]], ['01206', 1, [94]], ['00279', 1, [96]], ['01024', 1, [14]], ['00152', 1, [24]], ['00046', 1, [56]], ['00649', 1, [59]], ['00738', 1, [115]], ['00445', 2, [36, 102]], ['00660', 1, [169]], ['00083', 2, [23, 59]], ['01211', 1, [4]], ['00401', 1, [79]], ['00602', 1, [11]], ['00585', 1, [68]], ['01105', 1, [35]], ['00183', 1, [45]], ['01126', 1, [39]], ['00851', 1, [46]], ['00521', 1, [12]], ['00809', 1, [27]], ['00565', 1, [42]], ['00659', 1, [61]], ['00826', 1, [25]], ['01186', 1, [34]], ['00890', 1, [132]], ['00029', 1, [29]], ['00318', 1, [24]], ['00888', 1, [52]], ['00869', 3, [30, 40, 55]], ['00312', 1, [113]], ['01129', 1, [83]], ['01238', 1, [28]], ['00923', 1, [5]], ['00140', 1, [68]], ['00069', 1, [76]], ['00019', 2, [102, 153]], ['00775', 1, [45]], ['00216', 1, [27]], ['00038', 1, [43]], ['00137', 1, [77]], ['00121', 1, [33]], ['00981', 1, [38]], ['00825', 1, [44]], ['00107', 1, [120]], ['00994', 1, [74]], ['01015', 1, [26]], ['00997', 1, [28]], ['00222', 1, [41]], ['00726', 1, [12]], ['00033', 1, [49]], ['01083', 1, [147]], ['00711', 1, [16]], ['00657', 1, [28]], ['00949', 1, [46]], ['00691', 1, [33]], ['00026', 1, [62]], ['00877', 1, [37]], ['01191', 1, [31]], ['00254', 2, [38, 66]], ['01070', 1, [47]], ['00173', 1, [92]], ['00550', 1, [80]], ['00424', 1, [154]], ['00846', 1, [54]], ['00090', 1, [56]], ['00498', 1, [20]], ['00040', 1, [49]], ['00403', 1, [2]], ['00297', 1, [74]], ['00039', 1, [54]], ['00684', 1, [30]], ['00208', 1, [37]]]"
confirmatori,"[['01176', 1, [39]], ['00301', 1, [59]], ['00403', 3, [22, 37, 41]]]"
conflict,"[['01156', 1, [89]], ['00467', 1, [53]], ['00333', 1, [25]], ['00798', 1, [97]], ['00556', 1, [41]]]"
confluenc,"[['00953', 1, [27]], ['00743', 2, [99, 115]]]"
confluent,"[['00336', 1, [55]], ['01029', 1, [47]]]"
confront,"[['00043', 1, [83]]]"
confus,"[['00202', 1, [48]], ['00298', 1, [54]], ['00475', 1, [42]], ['00479', 1, [28]], ['00149', 1, [31]], ['00241', 1, [70]], ['01083', 1, [11]], ['00060', 1, [68]], ['00925', 1, [122]], ['01168', 1, [51]]]"
congenit,"[['00248', 1, [30]], ['00351', 2, [2, 14]], ['01031', 1, [26]], ['00486', 1, [48]], ['00969', 1, [34]], ['00933', 1, [76]], ['00421', 1, [124]], ['00782', 1, [78]], ['00301', 1, [23]], ['01085', 1, [148]], ['00779', 1, [20]], ['00545', 2, [86, 93]], ['00978', 1, [136]], ['00643', 1, [36]], ['00791', 1, [59]], ['00197', 2, [1, 10]], ['00241', 1, [32]], ['00755', 1, [19]], ['00863', 1, [36]], ['00751', 1, [84]], ['00476', 1, [48]], ['00667', 1, [8]], ['00247', 1, [22]], ['00360', 1, [24]], ['00432', 1, [32]], ['00099', 2, [9, 65]], ['00768', 3, [41, 44, 56]], ['00014', 1, [82]], ['01041', 1, [80]]]"
congenita,"[['00197', 1, [61]]]"
congest,"[['00385', 2, [26, 47]], ['00316', 1, [63]], ['00059', 1, [71]], ['00782', 1, [65]], ['00751', 1, [69]]]"
congress,"[['01166', 1, [31]]]"
conjectur,"[['00287', 1, [71]]]"
conjoint,"[['00385', 1, [40]]]"
conjug,"[['00725', 1, [108]], ['00972', 5, [4, 8, 28, 31, 54]], ['00521', 1, [39]], ['01016', 1, [51]], ['00423', 1, [76]], ['00447', 1, [22]], ['00994', 1, [13]]]"
conjunct,"[['00818', 1, [27]], ['01197', 1, [291]], ['00860', 1, [58]], ['00451', 1, [101]], ['01211', 1, [43]], ['01128', 1, [77]]]"
conjunctiv,"[['00016', 1, [15]], ['00169', 3, [1, 18, 33]]]"
conjunctiva,"[['00169', 1, [15]]]"
connect,"[['00654', 1, [57]], ['00052', 1, [64]], ['00738', 1, [51]], ['00984', 1, [11]], ['00100', 1, [105]], ['00442', 1, [53]], ['01002', 1, [30]], ['00522', 1, [32]], ['00335', 1, [72]], ['00173', 1, [52]], ['00109', 1, [44]]]"
conov,"[['00102', 1, [7]], ['00191', 1, [29]], ['00107', 2, [122, 131]]]"
consanguin,"[['00664', 1, [4]], ['00968', 1, [90]], ['01166', 1, [14]], ['00162', 1, [30]]]"
consecut,"[['01217', 1, [81]], ['00738', 1, [94]], ['00782', 1, [30]], ['01132', 1, [17]], ['00717', 1, [38]], ['00236', 2, [28, 91]], ['01149', 1, [41]], ['01188', 1, [69]], ['01150', 1, [26]], ['00647', 1, [75]], ['00752', 1, [10]], ['00594', 1, [6]]]"
consensus,"[['01156', 1, [92]]]"
consent,"[['01237', 1, [29]]]"
consequ,"[['00317', 1, [133]], ['00746', 1, [45]], ['00518', 1, [56]], ['00715', 1, [52]], ['00703', 1, [87]], ['01233', 1, [23]], ['01173', 1, [38]], ['00298', 1, [70]], ['01237', 1, [114]], ['00141', 1, [174]], ['00547', 1, [12]], ['00184', 1, [27]], ['01034', 1, [39]], ['00373', 1, [89]], ['00928', 1, [50]], ['00622', 1, [112]], ['00787', 1, [36]], ['01226', 1, [55]], ['00197', 1, [98]], ['00757', 1, [57]], ['00891', 2, [26, 46]], ['01154', 1, [7]], ['01021', 1, [38]], ['00641', 1, [49]], ['00067', 1, [58]], ['00435', 1, [62]], ['00688', 1, [62]], ['00586', 1, [21]], ['00975', 1, [19]]]"
conserv,"[['00660', 1, [237]], ['00775', 1, [31]], ['00834', 1, [21]], ['00617', 1, [50]], ['00559', 1, [180]], ['00682', 1, [40]]]"
consid,"[['00858', 1, [62]], ['00351', 1, [74]], ['00148', 1, [74]], ['00157', 1, [5]], ['00879', 1, [53]], ['00426', 1, [55]], ['00801', 1, [63]], ['00518', 1, [48]], ['00990', 1, [14]], ['01139', 1, [150]], ['00386', 1, [72]], ['00462', 1, [70]], ['00367', 1, [89]], ['00677', 1, [32]], ['01087', 2, [15, 43]], ['00933', 1, [62]], ['01173', 1, [123]], ['00215', 1, [47]], ['00872', 1, [45]], ['00204', 1, [13]], ['00934', 2, [6, 43]], ['00866', 1, [123]], ['00392', 1, [10]], ['00298', 1, [63]], ['00265', 1, [56]], ['01200', 1, [151]], ['01115', 1, [84]], ['00653', 1, [111]], ['00782', 1, [112]], ['00117', 1, [40]], ['01051', 1, [96]], ['00301', 1, [10]], ['00836', 1, [53]], ['00769', 1, [23]], ['00563', 1, [83]], ['00785', 1, [26]], ['00180', 1, [72]], ['00339', 1, [30]], ['00423', 1, [19]], ['00315', 2, [33, 45]], ['00322', 1, [76]], ['00177', 1, [70]], ['00856', 1, [23]], ['01195', 1, [30]], ['01118', 1, [8]], ['00413', 2, [9, 37]], ['00867', 1, [29]], ['00848', 1, [31]], ['00825', 1, [38]], ['00036', 1, [119]], ['00167', 1, [28]], ['00997', 1, [58]], ['01014', 1, [47]], ['01189', 1, [38]], ['01158', 1, [50]], ['00835', 1, [42]], ['00364', 1, [26]], ['00579', 1, [45]], ['01125', 1, [117]], ['01020', 1, [41]], ['00056', 1, [63]], ['00755', 1, [38]], ['01167', 1, [106]], ['00551', 2, [18, 27]], ['00943', 1, [76]], ['00476', 2, [40, 61]], ['00254', 1, [21]], ['01120', 1, [22]], ['01234', 1, [103]], ['00756', 1, [15]], ['01088', 1, [22]], ['00247', 1, [45]], ['00182', 1, [30]], ['00004', 1, [91]], ['00914', 1, [91]], ['01145', 1, [14]], ['00837', 1, [33]]]"
consider,"[['00746', 1, [19]], ['00722', 1, [46]], ['00192', 1, [134]], ['00013', 1, [45]], ['00703', 1, [68]], ['00495', 1, [78]], ['01206', 1, [42]], ['01162', 1, [85]], ['00165', 3, [22, 40, 73]], ['00279', 1, [7]], ['01102', 1, [16]], ['00008', 1, [185]], ['00400', 1, [102]], ['00153', 1, [45]], ['00955', 1, [203]], ['01065', 1, [31]], ['00350', 1, [60]], ['01124', 1, [82]], ['00373', 1, [61]], ['00785', 1, [8]], ['00450', 1, [72]], ['00372', 1, [46]], ['00313', 1, [80]], ['00107', 1, [88]], ['00332', 1, [10]], ['00700', 1, [15]], ['00092', 1, [49]], ['00881', 1, [33]], ['00065', 1, [67]], ['00449', 1, [18]], ['00510', 1, [42]], ['01021', 1, [80]], ['01178', 1, [26]], ['00964', 1, [5]], ['01027', 1, [33]], ['00335', 1, [42]], ['01088', 1, [91]], ['00435', 1, [66]], ['00220', 1, [21]], ['00432', 1, [19]], ['00278', 1, [73]], ['00201', 1, [48]]]"
consist,"[['00746', 2, [78, 142]], ['00963', 1, [33]], ['00567', 1, [147]], ['01066', 1, [37]], ['00145', 2, [25, 71]], ['00990', 1, [44]], ['00882', 1, [44]], ['00703', 1, [120]], ['00804', 1, [33]], ['00606', 2, [85, 132]], ['00534', 1, [50]], ['01204', 1, [37]], ['00913', 1, [23]], ['00305', 1, [94]], ['00410', 1, [30]], ['00739', 1, [107]], ['00529', 3, [19, 36, 67]], ['00230', 1, [31]], ['00951', 1, [124]], ['00844', 1, [42]], ['00250', 2, [16, 112]], ['00316', 1, [44]], ['00083', 1, [112]], ['00382', 1, [23]], ['00585', 1, [103]], ['01105', 1, [94]], ['00059', 1, [52]], ['00782', 1, [28]], ['01128', 1, [40]], ['00796', 1, [29]], ['00141', 2, [131, 152]], ['00740', 1, [109]], ['00179', 1, [46]], ['00114', 1, [10]], ['00181', 1, [52]], ['00685', 1, [58]], ['01092', 2, [17, 46]], ['00758', 1, [48]], ['00336', 1, [49]], ['00563', 1, [77]], ['01016', 1, [151]], ['00272', 1, [47]], ['00503', 1, [72]], ['00898', 1, [55]], ['00546', 1, [39]], ['00235', 1, [163]], ['00372', 1, [52]], ['00867', 1, [93]], ['00191', 1, [25]], ['00571', 1, [12]], ['00742', 1, [20]], ['00992', 1, [33]], ['00527', 1, [60]], ['01038', 1, [98]], ['00689', 1, [19]], ['01002', 1, [85]], ['00101', 1, [14]], ['00676', 1, [202]], ['01203', 1, [39]], ['00691', 1, [56]], ['01006', 1, [159]], ['01030', 2, [67, 80]], ['00044', 1, [38]], ['00333', 1, [119]], ['00031', 2, [75, 95]], ['00377', 1, [59]], ['00690', 1, [15]], ['00846', 1, [35]], ['01019', 1, [44]], ['00975', 1, [30]], ['00267', 1, [48]]]"
conspicu,"[['00575', 1, [153]]]"
constant,"[['00043', 1, [74]], ['00062', 4, [45, 52, 107, 116]], ['00857', 1, [42]], ['00233', 1, [39]], ['01101', 1, [29]], ['00660', 1, [52]], ['00146', 1, [12]], ['00316', 1, [41]], ['01202', 1, [60]], ['00259', 1, [105]], ['00325', 1, [87]], ['01034', 1, [72]], ['00147', 1, [92]], ['00578', 2, [65, 109]], ['00223', 1, [61]], ['01188', 1, [95]], ['00576', 1, [42]], ['00917', 1, [76]], ['00744', 2, [46, 52]], ['00956', 1, [192]], ['00333', 1, [36]], ['00194', 1, [130]], ['00024', 1, [116]]]"
constip,"[['00518', 3, [1, 4, 42]]]"
constitu,"[['00052', 1, [25]], ['01197', 1, [86]], ['00876', 1, [50]], ['00861', 1, [29]], ['00976', 1, [102]], ['00835', 1, [39]]]"
constitut,"[['00876', 1, [19]], ['00604', 1, [24]], ['00616', 1, [39]], ['00578', 1, [61]], ['00086', 1, [42]], ['00088', 1, [30]], ['00946', 1, [51]]]"
constraint,"[['01020', 1, [44]]]"
constrict,"[['00358', 1, [86]]]"
construct,"[['01235', 2, [48, 63]], ['00734', 1, [79]]]"
consult,"[['01022', 1, [27]], ['00239', 1, [49]], ['00387', 1, [87]], ['01036', 1, [27]], ['00162', 1, [48]], ['01098', 1, [46]]]"
consum,"[['00911', 1, [25]], ['01101', 1, [31]], ['01222', 1, [17]], ['00487', 1, [8]], ['00897', 1, [15]]]"
consumpt,"[['00903', 1, [43]], ['00790', 1, [43]], ['01222', 1, [30]], ['01188', 1, [107]], ['00571', 1, [36]], ['00689', 2, [86, 98]], ['01074', 2, [42, 70]], ['00487', 1, [46]], ['01185', 2, [5, 118]]]"
contact,"[['00551', 1, [59]]]"
contactinhibit,"[['00336', 1, [54]]]"
contain,"[['00408', 1, [51]], ['00572', 2, [16, 106]], ['00295', 1, [36]], ['00178', 1, [60]], ['00876', 2, [59, 73]], ['00374', 2, [68, 77]], ['00604', 1, [81]], ['00133', 1, [25]], ['00962', 1, [55]], ['01063', 1, [37]], ['00463', 1, [86]], ['00445', 2, [9, 23]], ['00139', 1, [40]], ['00878', 1, [37]], ['00909', 2, [25, 32]], ['00401', 1, [67]], ['00602', 1, [64]], ['00059', 1, [20]], ['01064', 2, [30, 37]], ['00304', 1, [64]], ['00187', 1, [19]], ['00565', 4, [34, 70, 83, 103]], ['00766', 1, [60]], ['00563', 2, [179, 193]], ['00344', 1, [16]], ['00574', 2, [8, 47]], ['00789', 1, [15]], ['01075', 1, [59]], ['00591', 3, [50, 56, 61]], ['00509', 2, [59, 79]], ['00185', 1, [75]], ['00126', 1, [83]], ['00140', 1, [109]], ['00256', 1, [60]], ['00245', 1, [24]], ['00867', 1, [94]], ['00840', 2, [51, 83]], ['00875', 1, [53]], ['00520', 1, [57]], ['00723', 1, [12]], ['00238', 1, [38]], ['00527', 2, [52, 67]], ['00618', 1, [27]], ['00033', 2, [30, 34]], ['00983', 3, [44, 50, 56]], ['00159', 1, [49]], ['00573', 1, [19]], ['00702', 1, [62]], ['00131', 1, [31]], ['01030', 1, [59]], ['00749', 1, [237]], ['00532', 1, [126]], ['00055', 1, [74]], ['00925', 1, [59]], ['00234', 1, [51]], ['00788', 1, [34]], ['01143', 1, [43]], ['00208', 1, [94]]]"
contamin,"[['00482', 1, [27]], ['00025', 1, [39]], ['00324', 1, [62]], ['00618', 1, [9]], ['01130', 1, [43]], ['00487', 1, [25]], ['00004', 1, [52]]]"
content,"[['01196', 4, [31, 36, 40, 50]], ['01017', 1, [32]], ['00045', 2, [32, 41]], ['00378', 2, [5, 52]], ['00405', 2, [16, 41]], ['00023', 1, [82]], ['01044', 1, [116]], ['00827', 1, [48]], ['01197', 8, [33, 55, 80, 99, 133, 145, 240, 261]], ['01144', 1, [37]], ['00922', 1, [2]], ['00462', 1, [40]], ['01056', 1, [31]], ['00280', 3, [49, 72, 81]], ['00119', 1, [43]], ['00071', 2, [101, 162]], ['00996', 2, [31, 39]], ['00463', 3, [76, 101, 104]], ['00409', 2, [24, 32]], ['00436', 2, [38, 60]], ['00524', 1, [54]], ['01064', 1, [61]], ['00955', 1, [133]], ['00644', 6, [20, 37, 46, 55, 66, 74]], ['00425', 1, [17]], ['00231', 2, [23, 40]], ['00336', 2, [4, 14]], ['00721', 1, [49]], ['00318', 1, [28]], ['00005', 1, [58]], ['00503', 1, [66]], ['00019', 1, [126]], ['00998', 2, [10, 48]], ['00976', 1, [22]], ['00121', 1, [114]], ['00600', 1, [16]], ['00643', 1, [94]], ['00742', 1, [184]], ['00757', 2, [42, 53]], ['00380', 4, [23, 29, 48, 67]], ['00470', 5, [20, 42, 51, 61, 86]], ['00290', 3, [37, 44, 71]], ['00096', 1, [19]], ['01157', 1, [82]], ['00711', 1, [39]], ['01178', 1, [57]], ['00533', 1, [86]], ['00568', 2, [19, 67]], ['00441', 2, [49, 61]], ['00956', 2, [68, 143]], ['00175', 1, [10]], ['00031', 7, [8, 61, 63, 70, 72, 104, 108]], ['00002', 1, [2]], ['00925', 2, [82, 116]], ['00004', 1, [61]], ['00493', 1, [20]], ['00278', 3, [23, 33, 113]], ['00714', 2, [18, 67]], ['00166', 1, [27]]]"
context,"[['00386', 1, [73]], ['00642', 1, [15]]]"
continu,"[['00077', 1, [118]], ['00176', 1, [83]], ['00438', 1, [60]], ['00722', 1, [63]], ['00270', 1, [114]], ['00804', 1, [102]], ['00922', 1, [42]], ['00327', 1, [11]], ['00215', 1, [154]], ['01232', 1, [22]], ['00678', 1, [47]], ['01101', 1, [89]], ['00705', 2, [26, 42]], ['00750', 1, [36]], ['00384', 1, [62]], ['00258', 1, [202]], ['00660', 2, [258, 265]], ['00076', 1, [58]], ['00146', 1, [10]], ['00260', 1, [119]], ['00912', 1, [71]], ['01128', 1, [65]], ['01034', 1, [58]], ['01037', 2, [25, 41]], ['00709', 1, [82]], ['00185', 1, [141]], ['00257', 1, [51]], ['00340', 1, [55]], ['01154', 1, [15]], ['01151', 1, [90]], ['00641', 1, [8]], ['01231', 1, [39]], ['00360', 1, [125]], ['00632', 1, [61]], ['01019', 1, [12]], ['00885', 3, [1, 13, 26]], ['00628', 1, [29]]]"
contracept,"[['00015', 3, [8, 19, 50]]]"
contract,"[['00205', 1, [117]], ['00778', 1, [106]], ['00487', 1, [22]]]"
contractil,"[['00723', 1, [19]]]"
contradict,"[['01230', 1, [33]], ['00118', 1, [101]]]"
contraind,"[['01032', 1, [16]]]"
contralater,"[['00468', 1, [38]], ['00224', 1, [120]], ['01121', 2, [97, 200]]]"
contrari,"[['00052', 1, [26]], ['00636', 1, [40]]]"
contrast,"[['00007', 1, [115]], ['01199', 1, [50]], ['00295', 1, [19]], ['01197', 1, [67]], ['00225', 1, [41]], ['00133', 1, [17]], ['00681', 1, [23]], ['01106', 1, [40]], ['01053', 1, [19]], ['00008', 1, [131]], ['00529', 1, [35]], ['00230', 1, [43]], ['00451', 1, [65]], ['00448', 1, [41]], ['00782', 1, [129]], ['00954', 1, [71]], ['00141', 1, [57]], ['00769', 1, [65]], ['00521', 1, [132]], ['00528', 1, [55]], ['00177', 1, [91]], ['00865', 1, [35]], ['00779', 1, [45]], ['00073', 1, [58]], ['00324', 1, [35]], ['01000', 1, [129]], ['00275', 1, [38]], ['00611', 1, [42]], ['00472', 1, [33]], ['01020', 1, [45]], ['01005', 1, [72]], ['00469', 1, [24]], ['00960', 1, [63]], ['00284', 1, [43]], ['00047', 1, [59]], ['00441', 1, [26]], ['00067', 1, [26]], ['00608', 1, [26]], ['00162', 1, [26]], ['00493', 1, [74]], ['00792', 1, [11]], ['00201', 1, [117]]]"
contribut,"[['01196', 1, [14]], ['00903', 3, [16, 28, 63]], ['00879', 1, [20]], ['00805', 2, [98, 115]], ['01139', 1, [47]], ['01206', 3, [41, 46, 138]], ['00606', 1, [14]], ['00367', 2, [29, 85]], ['00831', 1, [74]], ['01003', 2, [11, 209]], ['00204', 1, [29]], ['00794', 1, [111]], ['00139', 1, [112]], ['01069', 1, [29]], ['00912', 1, [75]], ['01237', 1, [130]], ['00183', 1, [34]], ['00605', 1, [18]], ['01016', 1, [158]], ['00339', 1, [17]], ['00634', 1, [87]], ['00779', 1, [100]], ['00652', 1, [12]], ['00976', 1, [45]], ['00771', 1, [95]], ['00488', 1, [34]], ['00516', 1, [17]], ['00472', 1, [50]], ['01130', 1, [33]], ['00697', 1, [38]], ['00693', 1, [46]], ['00345', 1, [62]], ['00945', 1, [26]], ['00247', 2, [19, 32]], ['00194', 3, [1, 21, 140]], ['00208', 1, [98]], ['01160', 1, [31]], ['00355', 1, [46]]]"
contributor,"[['00375', 1, [170]]]"
contributori,"[['00695', 1, [73]], ['00481', 1, [97]]]"
